時間,縣市,AQI大於100之比率(%),AQI大於100之日數,不良(101-199)(站日),非常不良(200-299)(站日),有害(>=300)(站日)
2010年 1月,臺北市,0.0,0.0,40,0,0
,新北市,0.0,0.0,72,0,0
,桃園市,0.0,0.0,14,0,0
,基隆市,0.0,0.0,1,0,0
,新竹縣,0.0,0.0,8,0,0
,新竹市,0.0,0.0,3,0,0
,苗栗縣,0.0,0.0,8,0,0
,臺中市,1.29,2.0,47,0,0
,彰化縣,1.61,1.0,8,0,1
,南投縣,3.23,2.0,25,0,0
,雲林縣,4.84,3.0,29,1,1
,嘉義縣,8.06,5.0,47,1,1
,嘉義市,9.68,3.0,11,0,0
,臺南市,8.87,11.0,59,3,1
,高雄市,8.15,19.0,193,1,0
,屏東縣,8.79,8.0,85,1,0
,宜蘭縣,0.0,0.0,3,0,0
,花蓮縣,0.0,0.0,1,0,0
,臺東縣,0.0,0.0,6,0,2
,金門縣,0.0,0.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2010年 2月,臺北市,0.71,1.0,0,0,0
,新北市,0.79,2.0,0,0,0
,桃園市,0.0,0.0,0,0,0
,基隆市,0.0,0.0,0,0,0
,新竹縣,0.0,0.0,0,0,0
,新竹市,0.0,0.0,0,0,0
,苗栗縣,0.0,0.0,0,0,0
,臺中市,0.0,0.0,0,0,0
,彰化縣,0.0,0.0,1,0,0
,南投縣,0.0,0.0,0,0,0
,雲林縣,0.0,0.0,1,0,0
,嘉義縣,0.0,0.0,1,0,0
,嘉義市,0.0,0.0,1,0,0
,臺南市,0.0,0.0,4,0,0
,高雄市,0.0,0.0,7,0,0
,屏東縣,0.0,0.0,1,0,0
,宜蘭縣,0.0,0.0,0,0,0
,花蓮縣,0.0,0.0,0,0,0
,臺東縣,0.0,0.0,0,0,0
,金門縣,0.0,0.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2010年 3月,臺北市,9.03,14.0,0,0,0
,新北市,8.24,23.0,3,0,0
,桃園市,8.06,10.0,1,0,0
,基隆市,3.23,1.0,0,0,0
,新竹縣,8.06,5.0,1,0,0
,新竹市,6.45,2.0,0,0,0
,苗栗縣,6.45,4.0,0,0,0
,臺中市,7.74,12.0,3,0,0
,彰化縣,8.06,5.0,0,0,0
,南投縣,6.45,4.0,0,0,0
,雲林縣,9.68,6.0,0,0,0
,嘉義縣,11.29,7.0,4,0,0
,嘉義市,9.68,3.0,1,0,0
,臺南市,10.48,13.0,8,0,0
,高雄市,11.69,29.0,7,0,0
,屏東縣,8.6,8.0,4,0,0
,宜蘭縣,4.84,3.0,0,0,0
,花蓮縣,6.45,2.0,0,0,0
,臺東縣,0.0,0.0,0,0,0
,金門縣,0.0,0.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2010年 4月,臺北市,3.33,5.0,2,0,0
,新北市,3.7,10.0,4,0,0
,桃園市,0.83,1.0,1,0,0
,基隆市,0.0,0.0,0,0,0
,新竹縣,0.0,0.0,0,0,0
,新竹市,0.0,0.0,0,0,0
,苗栗縣,1.67,1.0,0,0,0
,臺中市,1.33,2.0,5,0,0
,彰化縣,1.67,1.0,0,0,0
,南投縣,1.67,1.0,2,0,0
,雲林縣,1.67,1.0,4,0,0
,嘉義縣,1.67,1.0,3,0,0
,嘉義市,0.0,0.0,0,0,0
,臺南市,0.83,1.0,0,0,0
,高雄市,2.08,5.0,7,0,0
,屏東縣,4.44,4.0,2,0,0
,宜蘭縣,0.0,0.0,0,0,0
,花蓮縣,0.0,0.0,0,0,0
,臺東縣,0.0,0.0,0,0,0
,金門縣,0.0,0.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2010年 5月,臺北市,2.58,4.0,5,0,0
,新北市,1.08,3.0,10,0,0
,桃園市,0.81,1.0,4,0,0
,基隆市,0.0,0.0,1,0,0
,新竹縣,0.0,0.0,2,0,0
,新竹市,0.0,0.0,1,0,0
,苗栗縣,3.23,2.0,2,0,0
,臺中市,2.58,4.0,3,0,0
,彰化縣,0.0,0.0,2,0,0
,南投縣,3.23,2.0,2,0,0
,雲林縣,0.0,0.0,3,0,0
,嘉義縣,0.0,0.0,4,0,0
,嘉義市,0.0,0.0,1,0,0
,臺南市,0.81,1.0,5,0,0
,高雄市,3.23,8.0,15,0,0
,屏東縣,3.23,3.0,9,0,0
,宜蘭縣,0.0,0.0,2,0,0
,花蓮縣,0.0,0.0,1,0,0
,臺東縣,0.0,0.0,0,0,0
,金門縣,0.0,0.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2010年 6月,臺北市,0.67,1.0,7,0,0
,新北市,0.37,1.0,15,0,0
,桃園市,0.0,0.0,4,0,0
,基隆市,0.0,0.0,0,0,0
,新竹縣,0.0,0.0,3,0,0
,新竹市,0.0,0.0,1,0,0
,苗栗縣,0.0,0.0,4,0,0
,臺中市,2.0,3.0,18,0,0
,彰化縣,1.67,1.0,2,0,0
,南投縣,0.0,0.0,8,0,0
,雲林縣,0.0,0.0,3,0,0
,嘉義縣,0.0,0.0,6,0,0
,嘉義市,0.0,0.0,0,0,0
,臺南市,0.0,0.0,1,0,0
,高雄市,2.92,7.0,2,0,0
,屏東縣,2.22,2.0,5,0,0
,宜蘭縣,0.0,0.0,1,0,0
,花蓮縣,0.0,0.0,0,0,0
,臺東縣,0.0,0.0,0,0,0
,金門縣,0.0,0.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2010年 7月,臺北市,0.0,0.0,18,0,0
,新北市,0.36,1.0,22,0,0
,桃園市,0.0,0.0,1,0,0
,基隆市,0.0,0.0,0,0,0
,新竹縣,0.0,0.0,1,0,0
,新竹市,0.0,0.0,0,0,0
,苗栗縣,0.0,0.0,1,0,0
,臺中市,0.0,0.0,5,0,0
,彰化縣,0.0,0.0,0,0,0
,南投縣,0.0,0.0,4,0,0
,雲林縣,0.0,0.0,0,0,0
,嘉義縣,0.0,0.0,2,0,0
,嘉義市,0.0,0.0,2,0,0
,臺南市,0.0,0.0,1,0,0
,高雄市,2.43,6.0,8,1,0
,屏東縣,0.0,0.0,4,1,0
,宜蘭縣,0.0,0.0,0,0,0
,花蓮縣,0.0,0.0,0,0,0
,臺東縣,0.0,0.0,0,0,0
,金門縣,0.0,0.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2010年 8月,臺北市,0.0,0.0,1,0,0
,新北市,1.08,3.0,3,0,0
,桃園市,0.0,0.0,0,0,0
,基隆市,0.0,0.0,0,0,0
,新竹縣,0.0,0.0,0,0,0
,新竹市,0.0,0.0,0,0,0
,苗栗縣,0.0,0.0,0,0,0
,臺中市,0.68,1.0,0,0,0
,彰化縣,0.0,0.0,0,0,0
,南投縣,1.61,1.0,1,0,0
,雲林縣,0.0,0.0,0,0,0
,嘉義縣,3.23,2.0,0,0,0
,嘉義市,0.0,0.0,0,0,0
,臺南市,0.0,0.0,0,0,0
,高雄市,2.42,6.0,1,0,0
,屏東縣,2.15,2.0,2,0,0
,宜蘭縣,0.0,0.0,0,0,0
,花蓮縣,0.0,0.0,0,0,0
,臺東縣,3.23,1.0,0,0,0
,金門縣,0.0,0.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2010年 9月,臺北市,0.67,1.0,3,0,0
,新北市,1.48,4.0,7,0,0
,桃園市,0.0,0.0,0,0,0
,基隆市,0.0,0.0,0,0,0
,新竹縣,0.0,0.0,0,0,0
,新竹市,0.0,0.0,0,0,0
,苗栗縣,0.0,0.0,1,0,0
,臺中市,2.0,3.0,2,0,0
,彰化縣,0.0,0.0,0,0,0
,南投縣,0.0,0.0,0,0,0
,雲林縣,3.33,2.0,3,0,0
,嘉義縣,0.0,0.0,2,0,0
,嘉義市,0.0,0.0,0,0,0
,臺南市,0.0,0.0,0,0,0
,高雄市,2.5,6.0,3,0,0
,屏東縣,1.11,1.0,4,0,0
,宜蘭縣,0.0,0.0,0,0,0
,花蓮縣,0.0,0.0,0,0,0
,臺東縣,0.0,0.0,0,0,0
,金門縣,0.0,0.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2010年 10月,臺北市,0.0,0.0,0,0,0
,新北市,0.0,0.0,0,0,0
,桃園市,0.0,0.0,1,0,0
,基隆市,0.0,0.0,0,0,0
,新竹縣,0.0,0.0,0,0,0
,新竹市,0.0,0.0,0,0,0
,苗栗縣,0.0,0.0,0,0,0
,臺中市,1.29,2.0,7,0,0
,彰化縣,0.0,0.0,0,0,0
,南投縣,1.61,1.0,2,0,0
,雲林縣,3.23,2.0,1,0,0
,嘉義縣,0.0,0.0,2,0,0
,嘉義市,0.0,0.0,1,0,0
,臺南市,3.23,4.0,0,0,0
,高雄市,10.89,27.0,4,0,0
,屏東縣,9.68,9.0,4,0,0
,宜蘭縣,0.0,0.0,0,0,0
,花蓮縣,0.0,0.0,0,0,0
,臺東縣,0.0,0.0,3,0,0
,金門縣,0.0,0.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2010年 11月,臺北市,0.0,0.0,0,0,0
,新北市,0.0,0.0,1,0,0
,桃園市,0.0,0.0,0,0,0
,基隆市,0.0,0.0,0,0,0
,新竹縣,0.0,0.0,0,0,0
,新竹市,0.0,0.0,0,0,0
,苗栗縣,0.0,0.0,0,0,0
,臺中市,0.0,0.0,2,0,0
,彰化縣,0.0,0.0,0,0,0
,南投縣,0.0,0.0,4,0,0
,雲林縣,1.67,1.0,11,0,0
,嘉義縣,10.0,6.0,17,0,0
,嘉義市,0.0,0.0,2,0,0
,臺南市,1.67,2.0,21,0,0
,高雄市,5.83,14.0,69,0,0
,屏東縣,5.56,5.0,15,0,0
,宜蘭縣,0.0,0.0,0,0,0
,花蓮縣,0.0,0.0,0,0,0
,臺東縣,0.0,0.0,1,0,1
,金門縣,0.0,0.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2010年 12月,臺北市,0.0,0.0,1,0,0
,新北市,0.36,1.0,4,0,0
,桃園市,0.0,0.0,0,0,0
,基隆市,0.0,0.0,0,0,0
,新竹縣,0.0,0.0,0,0,0
,新竹市,0.0,0.0,0,0,0
,苗栗縣,0.0,0.0,0,0,0
,臺中市,1.94,3.0,2,0,0
,彰化縣,1.61,1.0,1,0,1
,南投縣,3.23,2.0,2,0,0
,雲林縣,1.61,1.0,2,1,1
,嘉義縣,11.29,7.0,2,1,1
,嘉義市,16.13,5.0,1,0,0
,臺南市,8.87,11.0,6,3,1
,高雄市,7.26,18.0,38,0,0
,屏東縣,4.3,4.0,18,0,0
,宜蘭縣,0.0,0.0,0,0,0
,花蓮縣,0.0,0.0,0,0,0
,臺東縣,0.0,0.0,2,0,1
,金門縣,0.0,0.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2011年 1月,臺北市,0.0,0.0,21,0,5
,新北市,0.0,0.0,39,0,9
,桃園市,0.0,0.0,8,0,4
,基隆市,0.0,0.0,0,0,1
,新竹縣,0.0,0.0,3,1,1
,新竹市,0.0,0.0,1,1,0
,苗栗縣,0.0,0.0,5,1,1
,臺中市,0.0,0.0,22,4,6
,彰化縣,0.0,0.0,5,0,4
,南投縣,0.0,0.0,11,1,1
,雲林縣,0.0,0.0,12,1,3
,嘉義縣,0.0,0.0,24,0,4
,嘉義市,0.0,0.0,9,1,1
,臺南市,0.0,0.0,35,3,5
,高雄市,0.0,0.0,137,0,8
,屏東縣,3.23,3.0,44,0,2
,宜蘭縣,0.0,0.0,1,1,1
,花蓮縣,0.0,0.0,2,0,0
,臺東縣,0.0,0.0,1,0,0
,金門縣,0.0,0.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2011年 2月,臺北市,0.0,0.0,0,0,0
,新北市,0.0,0.0,0,0,0
,桃園市,0.0,0.0,0,0,0
,基隆市,0.0,0.0,0,0,0
,新竹縣,0.0,0.0,0,0,0
,新竹市,0.0,0.0,0,0,0
,苗栗縣,0.0,0.0,0,0,0
,臺中市,0.0,0.0,2,0,0
,彰化縣,0.0,0.0,1,0,0
,南投縣,3.57,2.0,2,0,0
,雲林縣,1.79,1.0,3,0,0
,嘉義縣,1.79,1.0,5,0,0
,嘉義市,10.71,3.0,3,0,0
,臺南市,8.04,9.0,11,0,0
,高雄市,6.7,15.0,19,0,0
,屏東縣,5.95,5.0,8,0,0
,宜蘭縣,0.0,0.0,0,0,0
,花蓮縣,0.0,0.0,0,0,0
,臺東縣,0.0,0.0,0,0,0
,金門縣,0.0,0.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2011年 3月,臺北市,0.0,0.0,1,0,0
,新北市,1.79,5.0,2,0,0
,桃園市,0.0,0.0,0,0,0
,基隆市,0.0,0.0,0,0,0
,新竹縣,0.0,0.0,0,0,0
,新竹市,0.0,0.0,0,0,0
,苗栗縣,0.0,0.0,0,0,0
,臺中市,0.0,0.0,0,0,0
,彰化縣,0.0,0.0,0,0,0
,南投縣,3.23,2.0,0,0,0
,雲林縣,0.0,0.0,0,0,0
,嘉義縣,1.61,1.0,0,0,0
,嘉義市,3.23,1.0,0,0,0
,臺南市,0.0,0.0,0,0,0
,高雄市,6.85,17.0,0,0,0
,屏東縣,8.6,8.0,0,0,0
,宜蘭縣,0.0,0.0,0,0,0
,花蓮縣,0.0,0.0,0,0,0
,臺東縣,0.0,0.0,0,0,0
,金門縣,0.0,0.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2011年 4月,臺北市,0.0,0.0,9,0,5
,新北市,1.85,5.0,14,0,9
,桃園市,0.0,0.0,6,0,4
,基隆市,0.0,0.0,0,0,1
,新竹縣,0.0,0.0,3,1,1
,新竹市,3.33,1.0,1,1,0
,苗栗縣,0.0,0.0,2,1,1
,臺中市,2.67,4.0,2,4,6
,彰化縣,3.33,2.0,1,0,4
,南投縣,6.67,4.0,2,1,1
,雲林縣,6.67,4.0,2,1,3
,嘉義縣,6.67,4.0,3,0,4
,嘉義市,13.33,4.0,1,1,1
,臺南市,2.5,3.0,5,3,5
,高雄市,6.25,15.0,21,0,8
,屏東縣,3.33,3.0,6,0,2
,宜蘭縣,0.0,0.0,1,1,1
,花蓮縣,0.0,0.0,2,0,0
,臺東縣,0.0,0.0,0,0,0
,金門縣,0.0,0.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2011年 5月,臺北市,3.23,5.0,5,0,0
,新北市,3.94,11.0,10,0,0
,桃園市,0.0,0.0,1,0,0
,基隆市,0.0,0.0,0,0,0
,新竹縣,0.0,0.0,0,0,0
,新竹市,0.0,0.0,0,0,0
,苗栗縣,0.0,0.0,1,0,0
,臺中市,1.29,2.0,2,0,0
,彰化縣,0.0,0.0,1,0,0
,南投縣,0.0,0.0,1,0,0
,雲林縣,3.23,2.0,1,0,0
,嘉義縣,0.0,0.0,1,0,0
,嘉義市,0.0,0.0,0,0,0
,臺南市,0.0,0.0,1,0,0
,高雄市,1.61,4.0,5,0,0
,屏東縣,2.15,2.0,4,0,0
,宜蘭縣,0.0,0.0,0,0,0
,花蓮縣,0.0,0.0,0,0,0
,臺東縣,0.0,0.0,0,0,0
,金門縣,0.0,0.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2011年 6月,臺北市,0.0,0.0,4,0,0
,新北市,0.74,2.0,3,0,0
,桃園市,0.0,0.0,1,0,0
,基隆市,0.0,0.0,0,0,0
,新竹縣,0.0,0.0,0,0,0
,新竹市,0.0,0.0,0,0,0
,苗栗縣,0.0,0.0,2,0,0
,臺中市,0.0,0.0,4,0,0
,彰化縣,0.0,0.0,0,0,0
,南投縣,0.0,0.0,2,0,0
,雲林縣,0.0,0.0,0,0,0
,嘉義縣,0.0,0.0,0,0,0
,嘉義市,0.0,0.0,0,0,0
,臺南市,0.0,0.0,1,0,0
,高雄市,0.0,0.0,8,0,0
,屏東縣,1.11,1.0,3,0,0
,宜蘭縣,0.0,0.0,0,0,0
,花蓮縣,0.0,0.0,0,0,0
,臺東縣,0.0,0.0,0,0,0
,金門縣,0.0,0.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2011年 7月,臺北市,0.0,0.0,1,0,0
,新北市,0.0,0.0,1,0,0
,桃園市,0.0,0.0,0,0,0
,基隆市,0.0,0.0,0,0,0
,新竹縣,1.61,1.0,0,0,0
,新竹市,0.0,0.0,0,0,0
,苗栗縣,0.0,0.0,0,0,0
,臺中市,1.29,2.0,3,0,0
,彰化縣,0.0,0.0,1,0,0
,南投縣,0.0,0.0,0,0,0
,雲林縣,0.0,0.0,0,0,0
,嘉義縣,0.0,0.0,0,0,0
,嘉義市,0.0,0.0,0,0,0
,臺南市,0.0,0.0,0,0,0
,高雄市,0.81,2.0,7,0,0
,屏東縣,1.08,1.0,2,0,0
,宜蘭縣,0.0,0.0,0,0,0
,花蓮縣,0.0,0.0,0,0,0
,臺東縣,0.0,0.0,0,0,0
,金門縣,0.0,0.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2011年 8月,臺北市,2.58,4.0,0,0,0
,新北市,1.43,4.0,1,0,0
,桃園市,0.0,0.0,0,0,0
,基隆市,0.0,0.0,0,0,0
,新竹縣,0.0,0.0,0,0,0
,新竹市,0.0,0.0,0,0,0
,苗栗縣,0.0,0.0,0,0,0
,臺中市,0.0,0.0,0,0,0
,彰化縣,0.0,0.0,0,0,0
,南投縣,0.0,0.0,0,0,0
,雲林縣,0.0,0.0,0,0,0
,嘉義縣,0.0,0.0,0,0,0
,嘉義市,0.0,0.0,0,0,0
,臺南市,0.0,0.0,0,0,0
,高雄市,0.4,1.0,6,0,0
,屏東縣,2.17,2.0,0,0,0
,宜蘭縣,0.0,0.0,0,0,0
,花蓮縣,0.0,0.0,0,0,0
,臺東縣,0.0,0.0,0,0,0
,金門縣,0.0,0.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2011年 9月,臺北市,4.67,7.0,0,0,0
,新北市,3.33,9.0,3,0,0
,桃園市,1.67,2.0,0,0,0
,基隆市,0.0,0.0,0,0,0
,新竹縣,0.0,0.0,0,0,0
,新竹市,0.0,0.0,0,0,0
,苗栗縣,0.0,0.0,0,0,0
,臺中市,2.5,3.0,1,0,0
,彰化縣,3.33,2.0,0,0,0
,南投縣,3.33,2.0,1,0,0
,雲林縣,0.0,0.0,0,0,0
,嘉義縣,6.67,4.0,2,0,0
,嘉義市,0.0,0.0,0,0,0
,臺南市,0.83,1.0,0,0,0
,高雄市,7.92,19.0,6,0,0
,屏東縣,8.89,8.0,2,0,0
,宜蘭縣,0.0,0.0,0,0,0
,花蓮縣,0.0,0.0,0,0,0
,臺東縣,3.33,1.0,1,0,0
,金門縣,0.0,0.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2011年 10月,臺北市,0.0,0.0,1,0,0
,新北市,0.0,0.0,4,0,0
,桃園市,0.0,0.0,0,0,0
,基隆市,0.0,0.0,0,0,0
,新竹縣,0.0,0.0,0,0,0
,新竹市,0.0,0.0,0,0,0
,苗栗縣,0.0,0.0,0,0,0
,臺中市,0.81,1.0,3,0,0
,彰化縣,0.0,0.0,0,0,0
,南投縣,1.61,1.0,0,0,0
,雲林縣,0.0,0.0,2,0,0
,嘉義縣,1.61,1.0,0,0,0
,嘉義市,0.0,0.0,0,0,0
,臺南市,1.61,2.0,0,0,0
,高雄市,6.85,17.0,6,0,0
,屏東縣,11.83,11.0,1,0,0
,宜蘭縣,0.0,0.0,0,0,0
,花蓮縣,0.0,0.0,0,0,0
,臺東縣,0.0,0.0,0,0,0
,金門縣,0.0,0.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2011年 11月,臺北市,0.0,0.0,0,0,0
,新北市,0.0,0.0,0,0,0
,桃園市,0.0,0.0,0,0,0
,基隆市,0.0,0.0,0,0,0
,新竹縣,0.0,0.0,0,0,0
,新竹市,0.0,0.0,0,0,0
,苗栗縣,0.0,0.0,0,0,0
,臺中市,0.68,1.0,2,0,0
,彰化縣,1.67,1.0,0,0,0
,南投縣,1.67,1.0,1,0,0
,雲林縣,0.0,0.0,2,0,0
,嘉義縣,1.67,1.0,0,0,0
,嘉義市,0.0,0.0,0,0,0
,臺南市,1.67,2.0,4,0,0
,高雄市,6.25,15.0,27,0,0
,屏東縣,2.22,2.0,9,0,0
,宜蘭縣,0.0,0.0,0,0,0
,花蓮縣,0.0,0.0,0,0,0
,臺東縣,0.0,0.0,0,0,0
,金門縣,0.0,0.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2011年 12月,臺北市,0.0,0.0,0,0,0
,新北市,0.0,0.0,0,0,0
,桃園市,0.0,0.0,0,0,0
,基隆市,0.0,0.0,0,0,0
,新竹縣,0.0,0.0,0,0,0
,新竹市,0.0,0.0,0,0,0
,苗栗縣,0.0,0.0,0,0,0
,臺中市,0.0,0.0,0,0,0
,彰化縣,0.0,0.0,0,0,0
,南投縣,0.0,0.0,0,0,0
,雲林縣,1.61,1.0,1,0,0
,嘉義縣,0.0,0.0,6,0,0
,嘉義市,0.0,0.0,0,0,0
,臺南市,0.0,0.0,2,0,0
,高雄市,0.4,1.0,14,0,0
,屏東縣,1.08,1.0,5,0,0
,宜蘭縣,0.0,0.0,0,0,0
,花蓮縣,0.0,0.0,0,0,0
,臺東縣,0.0,0.0,0,0,0
,金門縣,0.0,0.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2012年 1月,臺北市,0.0,0.0,16,0,0
,新北市,0.0,0.0,36,0,0
,桃園市,0.0,0.0,2,0,0
,基隆市,0.0,0.0,0,0,0
,新竹縣,0.0,0.0,1,0,0
,新竹市,0.0,0.0,1,0,0
,苗栗縣,0.0,0.0,0,0,0
,臺中市,0.0,0.0,13,0,0
,彰化縣,0.0,0.0,5,0,0
,南投縣,0.0,0.0,12,0,0
,雲林縣,0.0,0.0,8,0,0
,嘉義縣,0.0,0.0,12,0,0
,嘉義市,0.0,0.0,8,0,0
,臺南市,0.0,0.0,17,0,0
,高雄市,1.62,4.0,106,0,0
,屏東縣,0.0,0.0,47,0,0
,宜蘭縣,0.0,0.0,0,0,0
,花蓮縣,0.0,0.0,0,0,0
,臺東縣,0.0,0.0,1,0,0
,金門縣,0.0,0.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2012年 2月,臺北市,0.0,0.0,0,0,0
,新北市,0.0,0.0,0,0,0
,桃園市,0.0,0.0,0,0,0
,基隆市,0.0,0.0,0,0,0
,新竹縣,0.0,0.0,0,0,0
,新竹市,0.0,0.0,0,0,0
,苗栗縣,0.0,0.0,0,0,0
,臺中市,0.0,0.0,0,0,0
,彰化縣,0.0,0.0,0,0,0
,南投縣,0.0,0.0,0,0,0
,雲林縣,0.0,0.0,0,0,0
,嘉義縣,0.0,0.0,0,0,0
,嘉義市,0.0,0.0,0,0,0
,臺南市,0.0,0.0,0,0,0
,高雄市,0.86,2.0,0,0,0
,屏東縣,0.0,0.0,3,0,0
,宜蘭縣,0.0,0.0,0,0,0
,花蓮縣,0.0,0.0,0,0,0
,臺東縣,0.0,0.0,0,0,0
,金門縣,0.0,0.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2012年 3月,臺北市,0.65,1.0,0,0,0
,新北市,0.36,1.0,0,0,0
,桃園市,0.0,0.0,0,0,0
,基隆市,0.0,0.0,0,0,0
,新竹縣,0.0,0.0,0,0,0
,新竹市,0.0,0.0,0,0,0
,苗栗縣,0.0,0.0,0,0,0
,臺中市,0.0,0.0,0,0,0
,彰化縣,0.0,0.0,0,0,0
,南投縣,0.0,0.0,2,0,0
,雲林縣,0.0,0.0,1,0,0
,嘉義縣,0.0,0.0,1,0,0
,嘉義市,0.0,0.0,3,0,0
,臺南市,0.81,1.0,9,0,0
,高雄市,2.82,7.0,15,0,0
,屏東縣,4.3,4.0,5,0,0
,宜蘭縣,0.0,0.0,0,0,0
,花蓮縣,0.0,0.0,0,0,0
,臺東縣,0.0,0.0,0,0,0
,金門縣,3.23,1.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2012年 4月,臺北市,0.0,0.0,0,0,0
,新北市,0.79,2.0,5,0,0
,桃園市,0.0,0.0,0,0,0
,基隆市,0.0,0.0,0,0,0
,新竹縣,0.0,0.0,0,0,0
,新竹市,0.0,0.0,0,0,0
,苗栗縣,0.0,0.0,0,0,0
,臺中市,0.0,0.0,0,0,0
,彰化縣,1.67,1.0,0,0,0
,南投縣,0.0,0.0,2,0,0
,雲林縣,0.0,0.0,0,0,0
,嘉義縣,0.0,0.0,1,0,0
,嘉義市,0.0,0.0,1,0,0
,臺南市,0.0,0.0,0,0,0
,高雄市,0.83,2.0,17,0,0
,屏東縣,0.0,0.0,8,0,0
,宜蘭縣,0.0,0.0,0,0,0
,花蓮縣,0.0,0.0,0,0,0
,臺東縣,0.0,0.0,0,0,0
,金門縣,3.33,1.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2012年 5月,臺北市,3.87,6.0,0,0,0
,新北市,2.02,5.0,5,0,0
,桃園市,0.0,0.0,0,0,0
,基隆市,0.0,0.0,0,0,0
,新竹縣,1.61,1.0,0,0,0
,新竹市,0.0,0.0,1,0,0
,苗栗縣,0.0,0.0,0,0,0
,臺中市,0.0,0.0,4,0,0
,彰化縣,0.0,0.0,2,0,0
,南投縣,0.0,0.0,4,0,0
,雲林縣,1.61,1.0,4,0,0
,嘉義縣,0.0,0.0,4,0,0
,嘉義市,0.0,0.0,4,0,0
,臺南市,0.81,1.0,3,0,0
,高雄市,3.63,9.0,15,0,0
,屏東縣,6.45,6.0,3,0,0
,宜蘭縣,0.0,0.0,0,0,0
,花蓮縣,0.0,0.0,0,0,0
,臺東縣,0.0,0.0,0,0,0
,金門縣,6.45,2.0,0,0,0
,連江縣,0.0,0.0,0,0,0
,澎湖縣,0.0,0.0,0,0,0
2012年 6月,臺北市,2.0,3.0,5,0,0
,新北市,1.92,5.0,11,0,0
,桃園市,0.0,0.0,0,0,0
,基隆市,0.0,0.0,0,0,0
